ca,cati,cati_url,endereco,municipio,email,telefone,responsavel,tecnicos,tem_dados
CA de Águas de São Pedro,CATI Regional de Piracicaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Piracicaba,Endereço: - CEP:,Município: Águas de São Pedro,E-mail: edr.piracicaba@cati.sp.gov.br,Telefone: (19) 99685-7914,Responsável: Eng. Agr. Mauricio Perissinotto (Diretor Técnico de Divisão),Técnicos:,True
CA de Agudos,CATI Regional de Bauru,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bauru,"Endereço: Av. Odon Pessoa Albuquerque, 788 - CEP: 17120-000",Município: Agudos,E-mail: ca.agudos@cati.sp.gov.br / marina.cavalcanti@sp.gov.br,Telefone: (14) 981294844,Responsável: Méd. Vet. Marina Peres Cavalcanti,Técnicos:,True
CA de Alambari,CATI Regional de Itapetininga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Itapetininga,"Endereço: Rua Dahyr Rachid, s/n - CEP: 18220-000",Município: Alambari,E-mail: edr.itapetininga@cati.sp.gov.br,Telefone: (15) 3271 0804,Responsável: Médico Veterinário Marcelo Ament Giuliani dos Santos,Técnicos:,True
CA de Alfredo Marcondes,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Praça da Bandeira, nº 57 - CEP: 19180-000",Município: Alfredo Marcondes,E-mail: ca.alfredomarcondes@cati.sp.gov.br,Telefone: (18) 3266-1154,Responsável: Eng. Agr. Marco Aurélio Fernandes,"Técnicos: Méd. Vet. Thiago do Amaral Brochado (Convênio Prefeitura Muncipal),Eng. Agr. Dimi Endrigo Cardoso (Convênio Prefeitura Municipal).",True
CA de Altair,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Rua 4, 966 - Centro - Barretos/SP - CEP: 14780-005",Município: Altair,E-mail: edr.barretos@cati.sp.gov.br,Telefone: (17) 3889-1240,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
CA de Altinópolis,CATI Regional de Franca,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Franca,"Endereço: Rua CoronelHonório Palma,689 - CEP: 14350-000",Município: Altinópolis,E-mail: ca.altinopolis@sp.gov.br,Telefone: (16) 3665-0416,"Responsável: NELSON DONIZETE ALVES, Eng. Agrônomo",Técnicos: Eng. Agr. Nelson Donizete Alves,True
CA de Alto Alegre,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Rua Oswaldo Cruz, 242 - CEP: 16310-000",Município: Alto Alegre,E-mail: ca.altoalegre@cati.sp.gov.br,Telefone: (18) 3657-1224,Responsável: Téc. Agrícola Maicon Aparecido Bezerra dos Santos (Convênio Prefeitura Municipal/SAA),Técnicos: Agente de Apoio SAA - Mario Sergio Simão de Queiroz,True
CA de Alumínio,CATI Regional de Sorocaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Sorocaba,Endereço: - CEP:,Município: Alumínio,E-mail: edr.sorocaba@cati.sp.gov.br,Telefone: (15) 3222-2852,Responsável: EDR SOROCABA,Técnicos: EDR SOROCABA,True
CA de Álvares Florence,CATI Regional de Votuporanga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Votuporanga,"Endereço: Rua Maranhão, nº 420 - CEP: 15540-000",Município: Álvares Florence,E-mail: ca.alvaresflorence@cati.sp.gov.br,Telefone: (17) 3486-1235,Responsável: Eng. Agr. Amauri Antonio de Mendonça,Técnicos: Eng. Agr. Fabiano Manoel Pinto (Conveniado); Méd. Vet. Joice Noanda Quatroque Buosi (Conveniado) e técnico Agrícola Afonso pinto da Silva,True
CA de Álvares Machado,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,Endereço: Rua Pedro Mazaro - CEP: 19160-000,Município: Álvares Machado,E-mail: ca.alvaresmachado@cati.sp.gov.br,Telefone: (18) 3273-1143,Responsável: Eng. Agr. Marco Aurélio Fernandes,Técnicos: Eng. Agr. Marcos Antônio Takata Alexandre (Convênio Municipal Prefeitura).,True
